"addon"
{
    "shushan_suicide"           "自杀"
    "avalon_quests_rewards_kind_chance_node"        "{d:chance}%的几率获得以下奖励:"
    "avalon_quests_reward_Wood"        "<font color='#A0FFE7'>木材</font>"
    "avalon_quests_reward_YuanHui"        "<font color='#A0FFE7'>元会</font>"
    "avalon_quests_reward_Level"        "<font color='#A0FFE7'>等级</font>"
    "avalon_quests_reward_ATTRIBUTE_MOVE_SPEED"        "<font color='#A0FFE7'>移动速度</font>"
    "avalon_quests_reward_EXP"        "<font color='#A0FFE7'>经验值</font>"
    "avalon_quests_reward_Gold"        "<font color='#A0FFE7'>金币</font>"
    "avalon_quests_reward_item"        "物品: <font color='#A0FFE7'>{s:item_name}</font> x <font color='#FFC02C'>{s:count}</font>"
    "avalon_quests_reward_MAX_HP"        "<font color='#A0FFE7'>最大生命值</font>"
    "avalon_quests_reward_or"        "或"
    "avalon_quests_reward_merits"        "功德"
    "avalon_quests_reward_EWeapon"        "E级武器"
    "avalon_quests_reward_DWeapon"        "D级武器"
    "avalon_quests_reward_CWeapon"        "C级武器"
    "avalon_quests_reward_karma"        "业力"
    "avalon_quests_reward_dogen"        "道元"
    "avalon_quests_reward_state"        "境界"
    "avalon_quests_reward_hunting_points"        "通缉积分"
    "avalon_quests_reward_learn_teleport"        "激活传送技能"
    "avalon_quests_reward_juexin"        "激活觉醒技能"
    "avalon_quests_reward_shengling"        "升级至圣灵"
    "avalon_quests_reward_kaiyi"        "开翼"
    "avalon_ability_special_bonus_strength"        "筋骨"
    "avalon_ability_special_bonus_agility"        "身法"
    "avalon_ability_special_bonus_intellect"        "道法"
    "avalon_ability_special_bonus_health"        "血量"
    "avalon_ability_special_bonus_health_regen_pct"        "%回血速度"
    "avalon_ability_special_bonus_mana"        "法力"
    "avalon_ability_special_bonus_mana_regen_pct"        "%法力回复速度"
    "avalon_ability_special_bonus_armor"        "护甲"
    "avalon_ability_special_bonus_magic_armor"        "%魔抗"
    "avalon_ability_special_bonus_health_regen"        "回血速度"
    "avalon_ability_special_bonus_mana_regen"        "法力回复速度"
    "avalon_ability_special_bonus_attack_speed"        "攻击速度"
    "avalon_ability_special_bonus_movement_speed"        "移动速度"
    "avalon_ability_special_bonus_movement_speed_pct"        "%移动速度"
    "avalon_ability_special_weapon_mult_sword"        "剑系数"
    "avalon_ability_special_weapon_mult_knife"        "匕首系数"
    "avalon_ability_special_weapon_mult_blade"        "刀系数"
    "avalon_ability_special_weapon_mult_caster"        "法系数"
    "avalon_ability_special_weapon_mult_lancer"        "枪系数"
    "avalon_ability_special_aura_bonus_armor"        "周围友军护甲"
    "avalon_ability_special_bonus_damage"        "攻击力"
    "avalon_ability_special_bonus_damage_pct"        "攻击力%"
    "avalon_ability_special_bonus_evasion"        "%回避"
    "avalon_ability_special_cleave_percent"        "%分裂百分比"
    "avalon_ability_special_crit_chance"        "%暴击概率"
    "avalon_ability_special_crit_mult"        "暴击倍数:"
    "avalon_ability_special_lifesteal_percent"        "%吸血"
    "avalon_ability_special_attack_slow_movespeed_pct"        "攻击降低敌人移动速度"
    "avalon_ability_special_attack_slow_attackspeed"        "攻击降低敌人攻击速度"
    "avalon_ability_special_attack_regen_health"        "攻击回血"
    "avalon_ability_special_attack_regen_mana"        "攻击回蓝"
    "avalon_ability_special_attacked_regen_health"        "被攻击回血"
    "avalon_ability_special_attacked_regen_mana"        "被攻击回蓝"
    "avalon_ability_special_bonus_sword_damage"        "%剑系伤害"
    "avalon_ability_special_bonus_knife_damage"        "%匕首系伤害"
    "avalon_ability_special_bonus_blade_damage"        "%刀系伤害"
    "avalon_ability_special_bonus_caster_damage"        "%法系伤害"
    "avalon_ability_special_bonus_lancer_damage"        "%枪系伤害"
    "avalon_ability_special"        "固有属性:"
    "avalon_attributes_title"        "属性"
    "avalon_attributes"        "附加属性:"
    "avalon_attribute_str"        "筋骨"
    "avalon_attribute_agi"        "身法"
    "avalon_attribute_int"        "道法"
    "avalon_attribute_hp"        "血量"
    "avalon_attribute_mana"        "法力"
    "avalon_attribute_armor"        "护甲"
    "avalon_attribute_magic_armor"        "魔抗"
    "avalon_attribute_health_regen"        "回血速度"
    "avalon_attribute_health_regen_pct"        "%回血速度"
    "avalon_attribute_mana_regen"        "法力回复速度"
    "avalon_attribute_attack_speed"        "攻击速度"
    "avalon_attribute_move_speed"        "移动速度"
    "avalon_attribute_sword_coefficient"        "剑系数"
    "avalon_attribute_knife_coefficient"        "匕首系数"
    "avalon_attribute_blade_coefficient"        "刀系数"
    "avalon_attribute_caster_coefficient"        "法系数"
    "avalon_attribute_lancer_coefficient"        "枪系数"
    "avalon_attribute_sword_damage"        "%剑系伤害"
    "avalon_attribute_knife_damage"        "%匕首系伤害"
    "avalon_attribute_blade_damage"        "%刀系伤害"
    "avalon_attribute_caster_damage"        "%法系伤害"
    "avalon_attribute_lancer_damage"        "%枪系伤害"
    "avalon_attribute_state"        "境界"
    "avalon_attribute_merits"        "功德"
    "avalon_attribute_karma"        "业力"
    "avalon_attribute_dogen"        "道元"
    "avalon_attribute_damage_outgoing"        "%伤害输出增强"
    "avalon_attribute_incoming_damage"        "%降低受到的伤害"
    "avalon_attribute_health_regen_pct"        "%回血速度"
    "avalon_item_suit_attribute"        "套装属性:"
    "avalon_attribute_str_value"        "{s:str}"
    "avalon_attribute_agi_value"        "{s:agi}"
    "avalon_attribute_int_value"        "{s:int}"
    "avalon_attribute_hp_value"        "{s:hp}"
    "avalon_attribute_mana_value"        "{s:mana}"
    "avalon_attribute_armor_value"        "{s:armor}"
    "avalon_attribute_magic_armor_value"        "{s:magic_armor}"
    "avalon_attribute_health_regen_value"        "{s:health_regen}"
    "avalon_attribute_mana_regen_value"        "{s:mana_regen}"
    "avalon_attribute_attack_speed_value"        "{s:attack_speed}"
    "avalon_attribute_move_speed_value"        "{s:move_speed}"
    "avalon_attribute_sword_coefficient_value"        "{s:sword_coefficient}"
    "avalon_attribute_knife_coefficient_value"        "{s:knife_coefficient}"
    "avalon_attribute_blade_coefficient_value"        "{s:blade_coefficient}"
    "avalon_attribute_caster_coefficient_value"        "{s:caster_coefficient}"
    "avalon_attribute_lancer_coefficient_value"        "{s:lancer_coefficient}"
    "avalon_attribute_sword_damage_value"        "{s:sword_damage}"
    "avalon_attribute_knife_damage_value"        "{s:knife_damage}"
    "avalon_attribute_blade_damage_value"        "{s:blade_damage}"
    "avalon_attribute_caster_damage_value"        "{s:caster_damage}"
    "avalon_attribute_lancer_damage_value"        "{s:lancer_damage}"
    "avalon_attribute_state_value"        "{s:state}"
    "avalon_attribute_merits_value"        "{s:merits}"
    "avalon_attribute_karma_value"        "{s:karma}"
    "avalon_attribute_dogen_value"        "{s:dogen}"
    "item_suit_biheluori"        "套装"
    "item_suit_tianshi"        "天师套装"
    "item_suit_jiulong"        "九龙套装"
    "item_suit_lieyan"        "烈焰套装"
    "item_suit_bingfeng"        "冰封套装"
    "item_suit_bingyan"        "冰焰套装"
    "item_suit_taiji"        "太极套装"
    "item_suit_zhenwutaiji"        "真武太极套装"
    "item_suit_wuzu"        "巫族套装"
    "item_suit_wuxiang"        "无相套装"
    "item_suit_jueying"        "绝影套装"
    "item_suit_miguang"        "弥光套装"
    "item_suit_wuran"        "雾然套装"
    "item_suit_duanxie"        "断邪套装"
    "item_suit_yinze"        "阴泽套装"
    "item_suit_liudao"        "六道套装"
    "item_suit_shichuan"        "石川套装"
    "item_suit_washenmo"        "娲神魔套装"
    "item_suit_washenxian"        "娲神仙套装"
    "item_suit_shengling"        "圣灵套装"
    "item_suit_niepan"        "涅槃套装"
    "item_suit_guiyuan"        "归元套装"
    "item_suit_zhanyun"        "战陨套装"
    "item_suit_niepan_sl"        "圣灵*涅槃套装"
    "item_suit_guiyuan_sl"        "圣灵*归元套装"
    "item_suit_zhanyun_sl"        "圣灵*战陨套装"
    "item_suit_poyu"        "破羽套装"
    "item_suit_binglie"       "冰烈套装"
    "item_suit_jihan"       "极寒套装"
    "item_suit_lishang"       "九黎战阵"
    "item_suit_buluominghe"       "不落冥河"
    "item_suit_wuxie_one"       "巫邪套装"
    "item_suit_wuxie_two"       "巫邪套装"
    "item_suit_tianqiong"       "天穹套装"
    "item_suit_xinglong"       "行龙套装"
    "item_suit_hanxue"       "寒雪套装"
    "item_suit_jiuli"       "九黎套装"
    "item_suit_zhenwutaiji_cuilian" "真武太极（淬炼）套装"
    "avalon_difficulty"        "难度/速率: {s:difficulty_text}"
    "item_quality"        "<font color='#F965FF'>品质: </font>{s:quality}"
    "item_stack_count"        "<font color='#BC91FF'>叠加数量: </font>{s:count}"
    "item_kind"        "<font color='#67A8FF'>种类: </font>{s:kind}"
    "item_kind_normal"        "<font color='#CCCCCC'>普通物品</font>"
    "item_kind_material"        "<font color='#8DD2FE'>材料</font>"
    "item_kind_sword"        "<font color='#8DD2FE'>剑</font>"
    "item_kind_knife"        "<font color='#8DD2FE'>刀</font>"
    "item_kind_blade"        "<font color='#8DD2FE'>匕首</font>"
    "item_kind_caster"        "<font color='#8DD2FE'>法器</font>"
    "item_kind_lancer"        "<font color='#8DD2FE'>枪</font>"
    "item_kind_shoes"        "<font color='#8DD2FE'>鞋子</font>"
    "item_kind_clothes"        "<font color='#8DD2FE'>衣服</font>"
    "item_kind_hat"        "<font color='#8DD2FE'>头盔</font>"
    "item_kind_trinket"        "<font color='#8DD2FE'>饰品</font>"
    "item_kind_talisman"        "<font color='#8DD2FE'>法宝</font>"
    "item_kind_consumable"        "<font color='#8DD2FE'>消耗品</font>"
    "item_kind_sigil"        "<font color='#8DD2FE'>符印</font>"
    "avalon_loading"        "加载中......"
    "avalon_compose"        "合成"
    "avalon_kind"        "分类"
    "avalon_compose_require_item"        "合成所需物品："
    "avalon_quest_default_bubble_accept_text"        "少侠尽力而为吧！"
    "avalon_quest_default_bubble_submit_text"        "噢~感谢少校，这是奖励，请笑纳!!!"
    "avalon_quest_shared_name_node"        "请选择一个任务"
    "avalon_quests_subquest_find_item_finished_bubble"        "<font color='#FFAE35'>{d:MaxCount}</font>个<font color='#00F245'>{s:Target}</font>收集完毕"
    "avalon_quests_subquest_kill_unit_finished_bubble"        "<font color='#FFAE35'>{d:MaxCount}</font>个<font color='#00F245'>{s:Target}</font>击杀完毕"
    "quest_songxin_01"        "送信-其一"
    "quest_songxin_01_description"        "我与富庶村村长曾是旧识，不知他近况如何，少侠能否帮我将此信送予东南方的富庶村？"
    "quest_songxin_01_accepted_bubble"        "劳烦少侠把这封信交给<font color='#00F245'>{s:SubmitNPC}</font>"
    "quest_songxin_01_submited_bubble"        "感谢您的送信"
    "quest_songxin_01_subquest_bubble_1"        "你好，<font color='#00F245'>{s:SubmitNPC}</font>，这是<font color='#00F245'>{s:AcceptNPC}</font>给你的信"
    "quest_songxin_02"        "送信-其二"
    "quest_songxin_02_description"        "感谢少侠，信我已收到，再劳烦少侠将此函送回给义兄。"
    "quest_songxin_02_accepted_bubble"        "请您把这封回信交给<font color='#00F245'>{s:SubmitNPC}</font>"
    "quest_songxin_02_submited_bubble"        "噢哦~太感谢少侠了，大侠在此稍等会，我还有一封回信"
    "quest_songxin_02_subquest_bubble_1"        "<font color='#00F245'>{s:SubmitNPC}</font>，这是<font color='#00F245'>{s:AcceptNPC}</font>给你的回信"
    "quest_songxin_03"        "送信-其三"
    "quest_songxin_03_description"        "少侠劳烦再送一趟，请把这封回信交给我的义兄"
    "quest_songxin_03_accepted_bubble"        "请把这封回信交给<font color='#00F245'>{s:SubmitNPC}</font>"
    "quest_songxin_03_submited_bubble"        "感谢少侠，义弟果然安好，此药乃我云游之时偶然得到，有强身健体之功效，请少侠收下。"
    "quest_songxin_03_subquest_bubble_1"        "<font color='#00F245'>{s:SubmitNPC}</font>，这是<font color='#00F245'>{s:AcceptNPC}</font>给你的回信"
    "quest_wuzisouji"        "物资搜集"
    "quest_wuzisouji_description"        "城周围有些散落的木材，能否拾回一些木材助我装潢门面。"
    "quest_wuzisouji_accepted_bubble"        "少侠可前往城西方向拾取些<font color='#00F245'>{s:arg1}</font>回来，小心山上的山妖出没"
    "quest_wuzisouji_submited_bubble"        "少侠的木材我收下了，这是给你的报酬。"
    "quest_shared_shiqvbaicao"        "拾取百草"
    "quest_shared_shiqvbaicao_description"        "去东南方向的百花谷拾取灵草给我，我会根据灵草的成色给你奖励。"
    "quest_shared_shiqvbaicao_good"        "拾取百草"
    "quest_shared_shiqvbaicao_good_description"        "百花谷有一九瓣天龙散，此药十分罕见，然而却是疗伤治病的上好药材，如果少侠遇到务必交给我，我会给予丰厚的报酬"
    "quest_shared_shiqvbaicao_good_accepted_bubble"        "去东南方向的百花谷拾取<font color='#00F245'>{s:arg1}</font>给我"
    "quest_shared_shiqvbaicao_good_submited_bubble"        "这是天意啊，没想到真的让少侠你遇到了<font color='#00F245'>{s:arg1}</font>，这是你的报酬"
    "quest_shared_shiqvbaicao_bad"        "拾取百草"
    "quest_shared_shiqvbaicao_bad_description"        "百花谷有只灵花妖，据说杀死灵花妖可以得到露灵白草。（重生时间内不再产花）"
    "quest_shared_shiqvbaicao_bad_accepted_bubble"        "如果少侠可以杀死灵花妖得到<font color='#00F245'>{s:arg1}</font>，我必有重赏"
    "quest_shared_shiqvbaicao_bad_submited_bubble"        "这<font color='#00F245'>{s:arg1}</font>果然是上品，这是你的报酬"
    "quest_shared_shiqvbaicao_none"        "拾取百草"
    "quest_shared_shiqvbaicao_none_description"        "采取10个灵草交还。"
    "quest_shared_shiqvbaicao_none_accepted_bubble"        "去东南方向的百花谷拾取<font color='#00F245'>{s:arg1}</font>给我"
    "quest_shared_shiqvbaicao_none_submited_bubble"        "感谢少侠，这是你的报酬"
    "quest_shared_qvchulanghuan"        "去除狼患"
    "quest_shared_qvchulanghuan_description"        "东南方向的百花谷有一批恶狼，成天为非作歹，好不安生，不知少侠能否代我打得10张狼皮，必有回报。"
    "quest_shared_qvchulanghuan_good"        "去除狼患"
    "quest_shared_qvchulanghuan_good_description"        "击杀豺狼，将狼皮交予猎户。"
    "quest_shared_qvchulanghuan_good_accepted_bubble"        "去杀死豺狼取得<font color='#00F245'>{s:arg1}</font>给我"
    "quest_shared_qvchulanghuan_good_submited_bubble"        "这些<font color='#00F245'>{s:arg1}</font>又够做几件衣裳了，哈哈哈"
    "quest_shared_qvchulanghuan_bad"        "去除狼患"
    "quest_shared_qvchulanghuan_bad_description"        "偷取猎户的狼皮衫。"
    "quest_shared_qvchulanghuan_bad_accepted_bubble"        "我这狼皮衫既保暖又好看，可耐着呢"
    "quest_shared_qvchulanghuan_bad_submited_bubble"        "我的狼皮衫呢???"
    "quest_shared_qvchulanghuan_bad_subquest_bubble_1"        "ԅ(¯﹃¯ԅ)"
    "quest_shared_qvchulanghuan_none"        "去除狼患"
    "quest_shared_qvchulanghuan_none_description"        "购买木弓交付给猎户，让他自己解决。"
    "quest_shared_qvchulanghuan_none_accepted_bubble"        "你能帮我打猎吗？"
    "quest_shared_qvchulanghuan_none_submited_bubble"        "唉，也罢，自己动手丰衣足食"
    "quest_shared_jiejiunvtong"        "解救女童"
    "quest_shared_jiejiunvtong_description"        "张家的女童被百花谷恶狼掳走了，望少侠相助。"
    "quest_shared_jiejiunvtong_good"        "解救女童"
    "quest_shared_jiejiunvtong_good_description"        "击杀恶狼，解救女童。"
    "quest_shared_jiejiunvtong_good_accepted_bubble"        "大侠一定救出这个女童啊"
    "quest_shared_jiejiunvtong_good_submited_bubble"        "啊哈哈哈，我就知道少侠您一定可以就出来的"
    "quest_shared_jiejiunvtong_bad"        "解救女童"
    "quest_shared_jiejiunvtong_bad_description"        "击败恶狼后，不选择解救女童，协助恶狼成道。"
    "quest_shared_jiejiunvtong_bad_accepted_bubble"        "大侠一定救出这个女童啊"
    "quest_shared_jiejiunvtong_bad_submited_bubble"        "你，你，你，你，怎么可以这样助纣为虐"
    "quest_shared_jiejiunvtong_none"        "解救女童"
    "quest_shared_jiejiunvtong_none_description"        "向道门真人求助。"
    "quest_shared_jiejiunvtong_none_accepted_bubble"        "蜀山门前有一位高人<font color='#00F245'>{s:arg1}</font>，可向其求助"
    "quest_shared_jiejiunvtong_none_submited_bubble"        "行善积德，本人定会帮忙的"
    "quest_shared_jiejiunvtong_none_subquest_bubble_1"        "<font color='#00F245'>{s:arg1}</font>，恶狼俘走一名女童，恳请您帮忙解救女童"
    "quest_shared_qingchushhuizhai_01"        "清除水寨-其一"
    "quest_shared_qingchushhuizhai_01_description"        "西南方向有个九龙寨，日日与我手下冲突，望阁下能祝我一臂之力。"
    "quest_shared_qingchushhuizhai_01_good"        "清除水寨 - 其一"
    "quest_shared_qingchushhuizhai_01_good_description"        "击杀九龙寨喽啰。"
    "quest_shared_qingchushhuizhai_01_good_accepted_bubble"        "击杀<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_qingchushhuizhai_01_good_submited_bubble"        "多谢少侠鼎力相助"
    "quest_shared_qingchushhuizhai_01_bad"        "清除水寨 - 其一"
    "quest_shared_qingchushhuizhai_01_bad_description"        "谎称没有趁手的兵器，20%概率会被拆穿，直接挑战铁血门堂主，并无法继续完成后续任务。"
    "quest_shared_qingchushhuizhai_01_bad_accepted_bubble"        "少侠有什么困难吗"
    "quest_shared_qingchushhuizhai_01_bad_submited_bubble"        "我没有一件趁手的兵器"
    "quest_shared_qingchushhuizhai_01_none"        "清除水寨 - 其一(不重复)"
    "quest_shared_qingchushhuizhai_01_none_description"        "上山收集铜铁(击杀山妖掉落)，打造1把铜铁剑给予堂主，武装其部下。"
    "quest_shared_qingchushhuizhai_01_none_accepted_bubble"        "我们的兵器大部分磨损严重，你能给我一把<font color='#00F245'>{s:arg1}</font>吗"
    "quest_shared_qingchushhuizhai_01_none_submited_bubble"        "这把<font color='#00F245'>{s:arg1}</font>我收下了"
    "quest_shared_qingchushhuizhai_02"        "清除水寨-其二（完成清除水寨的善举）"
    "quest_shared_qingchushhuizhai_02_description"        "吾与九龙寨寨主结怨已久，改日便要下寨，望阁下能祝我一臂之力。"
    "quest_shared_qingchushhuizhai_02_good"        "清除水寨 - 其二"
    "quest_shared_qingchushhuizhai_02_good_description"        "下寨击杀九龙寨寨主。"
    "quest_shared_qingchushhuizhai_02_good_accepted_bubble"        "击杀<font color='#EF1400'>{s:arg1}</font>。"
    "quest_shared_qingchushhuizhai_02_good_submited_bubble"        "感谢少侠，此恩难忘"
    "quest_shared_qingchushhuizhai_02_bad"        "清除水寨 - 其二"
    "quest_shared_qingchushhuizhai_02_bad_description"        "假装答应，下毒毒害铁血门堂主，杀人夺宝。"
    "quest_shared_qingchushhuizhai_02_none"        "清除水寨 - 其二"
    "quest_shared_qingchushhuizhai_02_none_description"        "击杀山妖王，获得千年寒铁，铸造寒铁剑赠予铁血门堂主。"
    "quest_shared_qingchushhuizhai_02_none_accepted_bubble"        "给我一把<font color='#00F245'>{s:arg1}</font>，我可以干翻他们的头儿"
    "quest_shared_qingchushhuizhai_02_none_submited_bubble"        "多谢少侠，有<font color='#00F245'>{s:arg1}</font>我不虚了"
    "quest_tianjianzhixing_01"        "天剑之行-其一"
    "quest_tianjianzhixing_01_description"        "搜集九龙寨四寨主身上所持的玉佩。
凑齐之后找蜀山真人对话。"
    "quest_tianjianzhixing_01_accepted_bubble"        "收集好<font color='#00F245'>{s:arg1}</font>，<font color='#00F245'>{s:arg2}</font>，<font color='#00F245'>{s:arg3}</font>，<font color='#00F245'>{s:arg4}</font>再来找我"
    "quest_tianjianzhixing_01_submited_bubble"        "不错不错，可造之才啊"
    "quest_tianjianzhixing_02"        "天剑之行 - 其二"
    "quest_tianjianzhixing_02_description"        "将蜀山令牌交予蜀山看门弟子即可进入蜀山。"
    "quest_tianjianzhixing_02_accepted_bubble"        "把<font color='#00F245'>{s:arg1}</font>交给我。"
    "quest_tianjianzhixing_02_submited_bubble"        "你可以进入蜀山了。"
    "quest_shared_tianjianzhixing"        "天剑之行-其三"
    "quest_shared_tianjianzhixing_description"        "蜀山西北方有一处修炼宝地，唤作疾风崖，若你能突破风障到往阵眼，我便传与你蜀山的御剑之术。"
    "quest_shared_tianjianzhixing_03_good"        "天剑之行 - 其三"
    "quest_shared_tianjianzhixing_03_good_description"        "以肉身扛住疾风，击败阵眼的风霄巨兽。"
    "quest_shared_tianjianzhixing_03_good_accepted_bubble"        "击杀<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_tianjianzhixing_03_good_submited_bubble"        "少侠你通过了我们的试练"
    "quest_shared_tianjianzhixing_03_bad"        "天剑之行 - 其三"
    "quest_shared_tianjianzhixing_03_bad_description"        "偷窃炼丹房中的定风珠，击败阵眼的风霄巨兽。"
    "quest_shared_tianjianzhixing_03_bad_accepted_bubble"        "击杀<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_tianjianzhixing_03_bad_submited_bubble"        "也罢也罢"
    "quest_shared_tianjianzhixing_03_bad_subquest_bubble_1"        "（¯﹃¯）"
    "quest_shared_tianjianzhixing_03_none"        "天剑之行 - 其三"
    "quest_shared_tianjianzhixing_03_none_description"        "每日三更，疾风崖会停风，趁此击败阵眼的风霄巨兽。"
    "quest_shared_tianjianzhixing_03_none_accepted_bubble"        "待到三更时，击杀<font color='#EF1400'>{s:arg1}</font>"
    "quest_shared_tianjianzhixing_03_none_submited_bubble"        "我没什么好说的了"
    "quest_shared_shizhenmibao"        "石阵秘宝-其一"
    "quest_shared_shizhenmibao_description"        "疾风崖之中有一处偏颇庙宇，你将此珠放入阵内，我必予你一件法器。"
    "quest_shared_shizhenmibao_01_good"        "石阵秘宝 - 其一"
    "quest_shared_shizhenmibao_01_good_description"        "将珠宝放入石阵。"
    "quest_shared_shizhenmibao_01_good_accepted_bubble"        "将<font color='#00F245'>{s:Item}</font>放入<font color='#00F245'>{s:Target}</font>。"
    "quest_shared_shizhenmibao_01_good_submited_bubble"        "石阵的异常的确有点离奇"
    "quest_shared_shizhenmibao_01_bad"        "石阵秘宝 - 其一"
    "quest_shared_shizhenmibao_01_bad_description"        "将珠宝出售至商店。（珠宝价值1万金币）"
    "quest_shared_shizhenmibao_01_bad_accepted_bubble"        "这<font color='#00F245'>{s:Item}</font>价值1万金币，少侠切勿丢失"
    "quest_shared_shizhenmibao_01_bad_submited_bubble"        "什，什么，你竟然把<font color='#00F245'>{s:Item}</font>卖了"
    "quest_shared_shizhenmibao_01_none"        "石阵秘宝 - 其一"
    "quest_shared_shizhenmibao_01_none_description"        "置之不理。"
    "quest_shared_shizhenmibao_01_none_accepted_bubble"        "少侠可否愿意冒险一试"
    "quest_shared_shizhenmibao_01_none_submited_bubble"        "也罢，我不强人所难"
    "quest_shared_shizhenmibao_01_none_subquest_bubble_1"        "不愿意"
    "quest_shared_caishiwabao"        "采石挖宝"
    "quest_shared_caishiwabao_description"        "我三年前在疾风崖内一处暗石埋下了一件妖族秘宝，因门派的清规不得带于身，近日吾想下山将此宝托予友人，不知阁下能否代我挖回此宝。"
    "quest_shared_caishiwabao_01_good"        "采石挖宝 - 其一"
    "quest_shared_caishiwabao_01_good_description"        "挖宝交还给弟子。"
    "quest_shared_caishiwabao_01_good_accepted_bubble"        "找到<font color='#00F245'>{s:arg1}</font>，并交给我"
    "quest_shared_caishiwabao_01_good_submited_bubble"        "少侠运气不错，竟然真的挖到此宝物"
    "quest_shared_caishiwabao_01_bad"        "采石挖宝 - 其一"
    "quest_shared_caishiwabao_01_bad_description"        "挖宝占为己有。"
    "quest_shared_caishiwabao_01_bad_accepted_bubble"        "找到<font color='#00F245'>{s:arg1}</font>，并交给我"
    "quest_shared_caishiwabao_01_bad_submited_bubble"        "少侠你这是不仁啊"
    "quest_shared_caishiwabao_01_none"        "采石挖宝 - 其一"
    "quest_shared_caishiwabao_01_none_description"        "匿名通知蜀山掌门。"
    "quest_shared_caishiwabao_01_none_accepted_bubble"        "少侠不要将此事告诉<font color='#00F245'>{s:arg1}</font>"
    "quest_shared_caishiwabao_01_none_submited_bubble"        "嗯，此事我知道了，我自会处理的"
    "quest_shared_sucaisouji"        "素材搜集"
    "quest_shared_sucaisouji_description"        "最近山内物资匮乏，到石河畔和百花谷搜集5个灵草和5个兰叶给我，我会给你奖励。"
    "quest_shared_sucaisouji_good"        "素材搜集"
    "quest_shared_sucaisouji_good_description"        "出发搜集药材。"
    "quest_shared_sucaisouji_good_accepted_bubble"        "收集<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#00F245'>{s:arg1}</font>，<font color='#FFAE35'>{d:arg2_max_count}</font>个<font color='#00F245'>{s:arg2}</font>"
    "quest_shared_sucaisouji_good_submited_bubble"        "多谢，少侠，这是你应有的报酬"
    "quest_shared_sucaisouji_bad"        "素材搜集"
    "quest_shared_sucaisouji_bad_description"        "谎称体虚不适，骗取药材修养后，再出发搜集药材。"
    "quest_shared_sucaisouji_bad_accepted_bubble"        "少侠，你的脸色看起来不太好啊，能收集<font color='#FFAE35'>{d:arg1_max_count}</font>个<font color='#00F245'>{s:arg1}</font>，<font color='#FFAE35'>{d:arg2_max_count}</font>个<font color='#00F245'>{s:arg2}</font>吗"
    "quest_shared_sucaisouji_bad_submited_bubble"        "多谢，少侠，这是你应有的报酬"
    "quest_shared_sucaisouji_none"        "素材搜集"
    "quest_shared_sucaisouji_none_description"        "让其他弟子帮忙采集。"
    "quest_shared_sucaisouji_none_accepted_bubble"        "如果你觉得人手不够，可以叫上<font color='#00F245'>{s:arg1}</font>"
    "quest_shared_sucaisouji_none_submited_bubble"        "愉快的合作"
    "quest_zhiwangbuyu"        "织网捕鱼"
    "quest_zhiwangbuyu_description"        "昨日摔了一跤，手脚不便，少侠能否代我用网在鱼塘里捕鱼？<br>角色达到25级该任务不会再获取经验"
    "quest_zhiwangbuyu_accepted_bubble"        "捕获<font color='#00F245'>{s:arg1}</font>"
    "quest_zhiwangbuyu_submited_bubble"        "感谢少侠相助"
    "quest_shared_jiminggoudao"        "鸡鸣狗盗"
    "quest_shared_jiminggoudao_description"        "前天家中失窃，不少的珠宝首饰被人盗走，<br>少侠是否能帮我缉拿真凶？"
    "quest_shared_jiminggoudao_good"        "鸡鸣狗盗"
    "quest_shared_jiminggoudao_good_description"        "在村中找到凶犯，捉拿之。"
    "quest_shared_jiminggoudao_good_accepted_bubble"        "<font color='#00F245'>{s:arg1}</font>应该还没跑远，少侠前往追之"
    "quest_shared_jiminggoudao_good_submited_bubble"        "感谢少侠，这个戒指对我很重要"
    "quest_shared_jiminggoudao_good_subquest_bubble_1"        "哈，找到你了"
    "quest_shared_jiminggoudao_bad"        "鸡鸣狗盗"
    "quest_shared_jiminggoudao_bad_description"        "在村中找到凶犯，收回首饰并独吞。"
    "quest_shared_jiminggoudao_bad_accepted_bubble"        "<font color='#00F245'>{s:arg1}</font>应该还没跑远，少侠前往追之"
    "quest_shared_jiminggoudao_bad_submited_bubble"        "少侠，你怎么可以这么无耻"
    "quest_shared_jiminggoudao_bad_subquest_bubble_1"        "哈，找到你了"
    "quest_shared_jiminggoudao_none"        "鸡鸣狗盗"
    "quest_shared_jiminggoudao_none_description"        "在村中找到凶犯，回头告诉妇人。"
    "quest_shared_jiminggoudao_none_accepted_bubble"        "<font color='#00F245'>{s:arg1}</font>应该还没跑远，少侠前往追之"
    "quest_shared_jiminggoudao_none_submited_bubble"        "竟然少侠已经找到了<font color='#00F245'>{s:arg1}</font>，我会去报官的"
    "quest_shared_qingchushuihuan"        "清除水患"
    "quest_shared_qingchushuihuan_description"        "石河畔有一群水妖为非作歹，望少侠除之。"
    "quest_shared_qingchushuihuan_good"        "清除水患"
    "quest_shared_qingchushuihuan_good_description"        "击杀水妖。"
